,accuracy,precision,recall,f1,confusion_matrix
Pedestrian_Detector,0.7452777777777778,0.3322734499205087,0.29603399433427763,0.31310861423220976,"[[2474, 420], [497, 209]]"
Traffic_Light_Detector,0.9572222222222222,0.9557389347336834,0.9860681114551083,0.9706666666666667,"[[898, 118], [36, 2548]]"
Vehicle_Detector,0.8561111111111112,0.9553422370617696,0.8477777777777777,0.8983516483516484,"[[793, 107], [411, 2289]]"
